Index,State,Year,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Studio_Percent_Change,One_Bedroom_Percent_Change,Two_Bedroom_Percent_Change,Three_Bedroom_Percent_Change,Four_Bedroom_Percent_Change
233,NE,2018,19638.075268817203,446.83870967741933,530.9139784946236,682.3548387096774,895.2903225806451,993.3978494623656,2.4733065371242535,1.7537713296513102,1.2913008778930646,1.6245377207650291,1.249369835390035
234,NE,2019,19638.075268817203,488.26881720430106,578.7311827956989,738.0860215053764,967.7096774193549,1080.8064516129032,9.271825969775715,9.006582278481012,8.167478214280099,8.088924119045915,8.798952222198174
235,NE,2020,20364.83870967742,480.4623655913978,568.6451612903226,723.6236559139785,946.3978494623656,1062.6236559139784,-1.5988019996036051,-1.742781762104717,-1.9594417412080123,-2.202295632076634,-1.682335969755766
236,NE,2021,20364.83870967742,507.494623655914,594.6344086021505,758.9139784946236,988.7741935483871,1101.8064516129032,5.626300830293407,4.57038045533622,4.876889014369135,4.477645855820023,3.687363393507659
237,NE,2022,20364.83870967742,526.8279569892474,610.2688172043011,778.5268817204301,1007.2258064516129,1121.3440860215053,3.80956416721403,2.6292472107195097,2.584338117570373,1.866109878637623,1.7732365226216906
238,NE,2023,20686.301075268817,587.9032258064516,670.4623655913979,855.258064516129,1100.1935483870968,1214.4408602150538,11.59301969588733,9.863448154347655,9.855945195641059,9.230079426082494,8.302248645538679
239,NE,2024,20686.301075268817,620.0752688172043,708.8924731182796,901.6236559139785,1154.1397849462367,1269.5591397849462,5.472336534064937,5.731881385017545,5.421239894894336,4.903340565687375,4.538572554297282
241,NH,2018,5082.895752895753,758.4324324324324,842.2355212355212,1063.957528957529,1391.868725868726,1621.4671814671815,3.291179177073733,3.1672988337227315,3.3623279732634126,3.3209422568191593,5.624273763952536
242,NH,2019,5082.895752895753,771.1660231660231,865.1196911196911,1096.965250965251,1440.3397683397684,1692.6756756756756,1.678935418512073,2.717074892614346,3.1023533467603004,3.48244353581475,4.391608724640439
243,NH,2020,5142.123552123552,756.7220077220077,855.8571428571429,1088.8494208494208,1425.6795366795366,1686.8918918918919,-1.8730098331764644,-1.0706666785679109,-0.7398438654906303,-1.017831485492493,-0.3416947420524008
244,NH,2021,5142.123552123552,787.5791505791506,896.1505791505791,1141.7722007722007,1491.9266409266409,1770.976833976834,4.0777382634916925,4.707962845168656,4.860431471001236,4.646703732691315,4.984607637816008
245,NH,2022,5142.123552123552,838.3050193050193,948.1814671814672,1210.5212355212354,1577.1351351351352,1854.5791505791506,6.440732806165217,5.8060430067685465,6.0212566659565425,5.711305896084218,4.720689452192461
246,NH,2023,5232.602316602317,947.992277992278,1061.4247104247104,1365.2664092664093,1774.6602316602316,2010.5250965250966,13.084409154342502,11.943203612686748,12.7833506099992,12.524297514186799,8.408697245261653
247,NH,2024,5232.602316602317,1013.988416988417,1121.5559845559847,1448.6409266409266,1874.888030888031,2071.1814671814673,6.961674744430413,5.665147376040802,6.106831370685861,5.647717655454199,3.0169417313520075
249,NJ,2018,418661.61904761905,967.8095238095239,1129.3333333333333,1393.8095238095239,1794.7142857142858,2079.285714285714,0.8084916422796518,1.9692148937999754,2.2925840497658445,1.9227648872302439,2.0329477742726976
250,NJ,2019,418661.61904761905,988.6190476190476,1158.7619047619048,1432.047619047619,1837.1904761904761,2125.095238095238,2.1501672899035595,2.605835722718841,2.7434233003074793,2.3667383056064084,2.2031375243329876
251,NJ,2020,426673.8095238095,1013.047619047619,1185.4285714285713,1466.7619047619048,1875.047619047619,2159.285714285714,2.4709792399210118,2.3013068135119497,2.4241013533734534,2.0605997770923423,1.6088914782530717
252,NJ,2021,426673.8095238095,1083.5714285714287,1257.142857142857,1552.4285714285713,1980.095238095238,2272.0476190476193,6.961549309015713,6.049650518197169,5.840529835724939,5.602397399431136,5.222185466975415
253,NJ,2022,426673.8095238095,1089.047619047619,1252.095238095238,1545.142857142857,1959.7142857142858,2239.9523809523807,0.5053834322126916,-0.4015151515151527,-0.4693107573387256,-1.0292915203693909,-1.41261291471928
254,NJ,2023,423115.14285714284,1194.0,1355.857142857143,1660.857142857143,2092.0,2387.904761904762,9.637079142982063,8.287061687076914,7.488905325443795,6.75025513923313,6.605157422564267
255,NJ,2024,423115.14285714284,1385.952380952381,1550.904761904762,1889.3809523809523,2373.6190476190477,2694.714285714286,16.076413815107294,14.38555824816492,13.759389873272543,13.461713557315846,12.848482431300612
257,NM,2018,62399.36363636364,557.7575757575758,610.3333333333334,761.5757575757576,1047.909090909091,1224.4242424242425,4.734266530101294,2.98087739032622,3.046455369223855,3.974863946600915,3.0029570714795506
258,NM,2019,62399.36363636364,598.0,651.2727272727273,806.6969696969697,1108.1515151515152,1299.1818181818182,7.21503857437793,6.707710639988074,5.924717491644116,5.748821607240973,6.1055288818492315
259,NM,2020,63176.666666666664,603.6060606060606,649.6060606060606,801.9090909090909,1093.090909090909,1296.2424242424242,0.9374683287726837,-0.25590917550716297,-0.5935163968295853,-1.3590746260494058,-0.22624962097357315
260,NM,2021,63176.666666666664,639.2727272727273,682.5454545454545,842.1212121212121,1137.3333333333333,1351.4848484848485,5.908931171243537,5.07067220226709,5.0145486150474206,4.047460634286981,4.261735552646351
261,NM,2022,63176.666666666664,613.5454545454545,661.1212121212121,812.9090909090909,1094.7878787878788,1310.5151515151515,-4.024459613196818,-3.1388740898597,-3.4688736955739485,-3.7408078439731374,-3.0314581044418087
262,NM,2023,63546.09090909091,662.060606060606,734.5151515151515,896.0,1204.3030303030303,1447.2424242424242,7.907344297920682,11.101434661044141,10.22142697383137,10.003321523472097,10.43309362499134
263,NM,2024,63546.09090909091,719.3636363636364,810.6969696969697,989.2727272727273,1328.7575757575758,1584.8181818181818,8.655254485536435,10.37171500474443,10.4099025974026,10.334155301695947,9.506061684708644
265,NV,2018,158855.9411764706,567.8235294117648,685.2352941176471,877.2941176470588,1232.1176470588234,1432.4705882352941,8.338945005611675,8.131439710387077,7.721198988804612,7.0421095666393985,5.470137294815713
266,NV,2019,158855.9411764706,575.3529411764706,695.5294117647059,883.2941176470588,1231.1176470588234,1421.9411764705883,1.3260126385579607,1.5022748733796831,0.6839211479147123,-0.08116108087462548,-0.7350525624178705
267,NV,2020,169865.88235294117,610.0588235294117,710.4705882352941,904.6470588235294,1263.2941176470588,1454.0588235294117,6.032103056947125,2.1481732070365522,2.417421417155041,2.613598356347646,2.2587184048318276
268,NV,2021,169865.88235294117,621.2941176470588,721.0588235294117,915.4117647058823,1272.6470588235295,1468.1764705882354,1.8416738983704661,1.4903129657227954,1.1899343260290074,0.740361333581685,0.9709130628261731
269,NV,2022,169865.88235294117,722.7058823529412,833.4117647058823,1068.3529411764705,1453.6470588235295,1711.8823529411766,16.32266616171181,15.58166095611031,16.707364092019006,14.222324936445574,16.599222725269435
270,NV,2023,178251.82352941178,807.0588235294117,932.2941176470588,1190.5882352941176,1652.5294117647059,1945.0,11.671821585544517,11.864765669113497,11.441471203611941,13.68161217222401,13.617620782076823
271,NV,2024,178251.82352941178,905.4117647058823,1036.7058823529412,1310.0588235294117,1798.4705882352941,2161.235294117647,12.186588921282793,11.19944475992176,10.034584980237149,8.8313814829317,11.11749584152426
273,NY,2018,312550.03225806454,753.3709677419355,835.6129032258065,1017.6935483870968,1308.1129032258063,1451.8387096774193,3.1354191967144285,2.5982256020278705,2.3454607386741655,1.788448505233542,1.2667626676266641
274,NY,2019,312550.03225806454,776.5322580645161,856.9032258064516,1044.016129032258,1339.8387096774193,1478.7096774193549,3.074353978890576,2.547869054972196,2.5864938111162195,2.4253110242531184,1.850823205279184
275,NY,2020,319326.37096774194,805.9193548387096,885.5967741935484,1076.225806451613,1378.4516129032259,1520.3709677419354,3.7844012877765065,3.3485167896401213,3.0851704800012314,2.881906825568814,2.8174083769633373
276,NY,2021,319326.37096774194,846.0806451612904,922.3064516129032,1120.3225806451612,1432.9354838709678,1577.7096774193549,4.9832889707206895,4.145190959258382,4.097353355513578,3.9525414209491627,3.771363101110725
277,NY,2022,319326.37096774194,894.1935483870968,967.8064516129032,1173.1612903225807,1492.0967741935483,1644.1612903225807,5.686562327239453,4.933284367731661,4.716383530089274,4.128677877580422,4.211903739598033
278,NY,2023,314755.62903225806,979.1935483870968,1057.758064516129,1279.5967741935483,1615.0,1787.6451612903227,9.505772005772005,9.294380374641698,9.072536295644507,8.236947357042478,8.726873197433726
279,NY,2024,314755.62903225806,1074.9516129032259,1160.3064516129032,1398.1774193548388,1758.3387096774193,1946.5,9.77927853730851,9.694881139354372,9.267032205205794,8.875461899530613,8.886262338271633
281,OH,2018,131096.63636363635,515.7045454545455,582.9090909090909,742.1477272727273,979.7840909090909,1093.625,1.6234856797366692,1.3134245817779444,1.180535113947978,0.6784212984586757,0.5758297801187195
282,OH,2019,131096.63636363635,523.4772727272727,588.875,746.1477272727273,979.5909090909091,1092.3636363636363,1.5072054999779594,1.0234716157205392,0.5389762513589247,-0.01971677433570962,-0.11533785679402886
283,OH,2020,131929.14772727274,539.8409090909091,603.5227272727273,760.5454545454545,992.4204545454545,1107.125,3.1259497243085965,2.487408579533401,1.9296081387733865,1.3096840053825831,1.351323235685764
284,OH,2021,131929.14772727274,570.9545454545455,633.1136363636364,796.7386363636364,1036.3863636363637,1151.125,5.763482507472739,4.903031444172479,4.758845326320826,4.430169580799936,3.9742576493169146
285,OH,2022,131929.14772727274,580.0568181818181,642.6477272727273,807.1818181818181,1045.8181818181818,1158.0,1.594220205397634,1.5059051584879857,1.310741232011181,0.9100677616718844,0.5972418286458892
286,OH,2023,132673.57954545456,640.1136363636364,705.8295454545455,886.4545454545455,1140.784090909091,1265.090909090909,10.353609560192002,9.831485509168392,9.820925779930189,9.080537204450634,9.24791961061391
287,OH,2024,132673.57954545456,698.8409090909091,763.1363636363636,957.4772727272727,1226.3863636363637,1363.590909090909,9.174507367299833,8.11907330188526,8.011998769356987,7.503810178406001,7.786001724633507
289,OK,2018,48718.844155844155,514.7662337662338,579.5584415584416,736.2857142857143,981.6623376623377,1124.2597402597403,4.340844477203332,4.0063392919570395,3.7287763466042234,3.5948742547796897,2.918692710995918
