Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
273,2024,CO,Huerfano County,6769,812.0,817.0,1074.0,1299.0,1729.0
274,2024,CO,Jackson County,1316,684.0,689.0,905.0,1163.0,1457.0
275,2024,CO,Jefferson County,578795,1658.0,1835.0,2201.0,2874.0,3225.0
276,2024,CO,Kiowa County,1463,837.0,843.0,1107.0,1338.0,1782.0
277,2024,CO,Kit Carson County,7246,888.0,893.0,1174.0,1420.0,1786.0
278,2024,CO,Lake County,7845,1031.0,1038.0,1364.0,1753.0,2196.0
279,2024,CO,La Plata County,56138,1241.0,1402.0,1716.0,2123.0,2763.0
280,2024,CO,Larimer County,350523,1342.0,1350.0,1646.0,2320.0,2553.0
281,2024,CO,Las Animas County,14323,797.0,895.0,1176.0,1451.0,1571.0
282,2024,CO,Lincoln County,5608,871.0,876.0,1124.0,1404.0,1810.0
283,2024,CO,Logan County,22282,789.0,862.0,1133.0,1597.0,1718.0
284,2024,CO,Mesa County,152962,761.0,865.0,1123.0,1583.0,1906.0
285,2024,CO,Mineral County,853,1031.0,1038.0,1364.0,1753.0,2196.0
286,2024,CO,Moffat County,13150,922.0,929.0,1220.0,1475.0,1625.0
287,2024,CO,Montezuma County,26266,910.0,966.0,1269.0,1534.0,2043.0
288,2024,CO,Montrose County,42280,914.0,920.0,1209.0,1704.0,2052.0
289,2024,CO,Morgan County,28617,845.0,948.0,1246.0,1639.0,2013.0
290,2024,CO,Otero County,18284,769.0,774.0,1017.0,1370.0,1726.0
291,2024,CO,Ouray County,4890,1340.0,1349.0,1772.0,2384.0,2405.0
292,2024,CO,Park County,18345,1658.0,1835.0,2201.0,2874.0,3225.0
293,2024,CO,Phillips County,4343,865.0,871.0,1144.0,1383.0,1842.0
294,2024,CO,Pitkin County,17980,1630.0,1835.0,2060.0,2491.0,3317.0
295,2024,CO,Prowers County,12035,796.0,847.0,1014.0,1226.0,1671.0
296,2024,CO,Pueblo County,167412,809.0,881.0,1158.0,1503.0,1663.0
297,2024,CO,Rio Blanco County,6369,804.0,810.0,1064.0,1332.0,1585.0
298,2024,CO,Rio Grande County,11300,842.0,843.0,1073.0,1297.0,1728.0
299,2024,CO,Routt County,25317,1448.0,1489.0,1956.0,2365.0,3319.0
300,2024,CO,Saguache County,6730,817.0,823.0,1081.0,1307.0,1440.0
301,2024,CO,San Juan County,646,1166.0,1324.0,1486.0,1797.0,1979.0
302,2024,CO,San Miguel County,8110,1312.0,1473.0,1936.0,2341.0,3117.0
303,2024,CO,Sedgwick County,2306,710.0,806.0,905.0,1094.0,1457.0
304,2024,CO,Summit County,30735,1551.0,1690.0,2220.0,3128.0,3650.0
305,2024,CO,Teller County,24981,1029.0,1352.0,1518.0,2139.0,2576.0
306,2024,CO,Washington County,4869,850.0,909.0,1083.0,1414.0,1442.0
307,2024,CO,Weld County,315389,1062.0,1190.0,1533.0,2160.0,2391.0
308,2024,CO,Yuma County,10013,945.0,951.0,1250.0,1511.0,1665.0
309,2024,CT,Fairfield County,19822,1505.0,1825.0,2221.0,2838.0,2997.0
310,2024,CT,Fairfield County,145014,1333.0,1591.0,1967.0,2489.0,2932.0
311,2024,CT,Fairfield County,17010,1505.0,1825.0,2221.0,2838.0,2997.0
312,2024,CT,Fairfield County,84650,1505.0,1825.0,2221.0,2838.0,2997.0
313,2024,CT,Fairfield County,21752,1781.0,2173.0,2628.0,3202.0,3500.0
